release_date,title,budget,revenue
1994-09-02,There Goes My Baby,10.5,0.123509
1994-09-09,Rapa Nui,20.0,0.30507
1994-09-10,Pulp Fiction,8.0,213.928762
1994-09-12,Hoop Dreams,0.7,7.830611
1994-09-13,Clerks,0.027,3.15113
1994-09-14,Leon: The Professional,16.0,45.284974
1994-09-15,Timecop,27.0,101.646581
1994-09-23,Terminal Velocity,50.0,16.4789
1994-09-23,The Shawshank Redemption,25.0,28.341469
1994-09-27,Ed Wood,18.0,5.887457
1994-09-28,Jason's Lyric,7.0,20.851521
1994-09-29,Muriel's Wedding,3.0,15.119639
1994-10-01,Don Juan DeMarco,25.0,22.2
1994-10-01,"Ryaba, My Chicken",2.7,4.635143
1994-10-07,The Specialist,45.0,170.362582
1994-10-07,A Troll in Central Park,23.0,0.071368
1994-10-13,New Nightmare,14.0,18.090181
1994-10-27,Stargate,55.0,196.567262
1994-10-28,Silent Fall,30.0,3.180674
1994-11-04,Mary Shelley's Frankenstein,45.0,112.006296
1994-11-04,Double Dragon,3.5,2.341309
1994-11-10,The Santa Clause,22.0,189.833357
1994-11-11,Interview with the Vampire,60.0,223.664608
1994-11-17,Star Trek: Generations,38.0,120.0
1994-11-18,The Swan Princess,35.0,9.771658
1994-11-22,Junior,60.0,37.0
1994-11-23,The Pagemaster,27.0,13.670688
1994-11-23,A Low Down Dirty Shame,10.0,29.392418
1994-11-25,Camilla,8.5,0.250993
1994-11-29,Highlander: The Final Dimension,26.0,36.8
1994-12-09,Disclosure,55.0,214.015089
1994-12-12,In the Mouth of Madness,8.0,8.9466
1994-12-16,Legends of the Fall,30.0,160.638883
1994-12-16,Dumb and Dumber,16.0,247.275374
1994-12-22,Street Fighter,35.0,99.423521
1994-12-23,Prêt-à-Porter,15.0,11.300653
1994-12-23,Nell,31.0,106.683817
1995-01-01,Search and Destroy,4.0,0.389503
1995-01-01,Rangeela,2.8,14.0
1995-01-06,Houseguest,10.5,26.325256
1995-01-20,Living in Oblivion,0.5,1.148752
1995-01-27,Before Sunrise,2.5,5.535405
1995-01-27,Miami Rhapsody,6e-06,5e-06
1995-01-30,Rumble in the Bronx,7.5,32.392047
1995-02-03,Boys on the Side,21.0,23.45
1995-02-09,The Quick and the Dead,32.0,18.55246
1995-02-10,Billy Madison,10.0,26.488734
1995-03-01,Roommates,22.0,12.4
1995-03-03,Hideaway,15.0,12.201255
1995-03-10,Outbreak,50.0,189.85956
1995-03-17,Losing Isaiah,17.0,7.603766
1995-03-31,Tank Girl,25.0,4.064495
1995-03-31,Jefferson in Paris,14.0,2.474
1995-04-07,Bad Boys,19.0,141.407024
1995-04-11,The Pebble and the Penguin,28.0,3.983912
1995-04-13,Rob Roy,28.0,31.596911
1995-04-21,While You Were Sleeping,17.0,182.057016
1995-04-26,Friday,3.5,28.215918
1995-04-28,Top Dog,6.0,5.093707
1995-05-12,Crimson Tide,53.0,157.387195
1995-05-12,The Perez Family,11.0,2.832826
1995-05-16,The City of Lost Children,18.0,1.738611
1995-05-19,Die Hard: With a Vengeance,90.0,366.101666
1995-05-20,To Die For,20.0,21.284514
1995-05-24,Braveheart,72.0,210.0
1995-05-24,Tales from the Hood,6.0,12.0
1995-05-26,Casper,50.0,287.928194
1995-05-26,Johnny Mnemonic,25.0,19.07572
1995-05-28,The Bridges of Madison County,24.0,182.016617
1995-06-08,Canadian Bacon,11.0,0.178104
1995-06-09,Smoke,7.0,8.34943
1995-06-09,Party Girl,0.15,0.47237
1995-06-09,Congo,50.0,152.022101
1995-06-14,Pocahontas,55.0,346.079773
1995-06-16,Batman Forever,100.0,336.529144
1995-06-30,Apollo 13,52.0,355.237933
1995-06-30,Mighty Morphin Power Rangers: The Movie,15.0,66.0
1995-06-30,Judge Dredd,90.0,113.493481
1995-07-07,Species,35.0,113.374103
1995-07-07,First Knight,55.0,127.600435
1995-07-13,Under Siege 2: Dark Territory,60.0,104.324083
1995-07-18,Babe,30.0,254.13491
1995-07-19,The Usual Suspects,6.0,23.341568
1995-07-21,An Awfully Big Adventure,4.0,0.851545
1995-07-28,Kids,1.5,7.412216
1995-07-28,The Net,22.0,110.627965
1995-07-28,Waterworld,175.0,264.21822
1995-08-04,Virtuosity,30.0,24.048
1995-08-11,A Walk in the Clouds,20.0,50.012507
1995-08-18,Mortal Kombat,18.0,122.19592
1995-08-25,Desperado,7.0,25.405445
1995-09-01,The Prophecy,8e-06,1.6e-05
1995-09-08,Screamers,20.0,5.781885
1995-09-08,The Tie That Binds,14.0,5.78
1995-09-13,Mighty Aphrodite,15.0,6.7
1995-09-14,Hackers,20.0,7.563728
1995-09-15,Clockers,25.0,13.071518
1995-09-15,Devil in a Blue Dress,27.0,16.140822
1995-09-15,Blue in the Face,2.0,1.275
1995-09-20,The Horseman on the Roof,35.0,15.0
1995-09-22,Se7en,33.0,327.311859
1995-09-22,Showgirls,45.0,20.350754
1995-09-25,Aasai,0.5,0.5
1995-09-28,Mute Witness,2e-06,1e-06
1995-09-29,Steal Big Steal Little,25.0,6.278139
1995-09-29,Halloween: The Curse of Michael Myers,5.0,15.116634
1995-10-05,The Immortals,5e-05,8.3e-05
1995-10-06,Assassins,50.0,30.303072
1995-10-06,How To Make An American Quilt,10.0,23.57413
1995-10-13,Strange Days,42.0,7.959291
1995-10-13,The Scarlet Letter,50.0,10.382407
1995-10-13,Jade,50.0,9.85161
1995-10-20,Mallrats,6.0,2.122561
1995-10-20,Get Shorty,30.25,115.101622
1995-10-20,Now and Then,12.0,27.4
1995-10-20,Dilwale Dulhania Le Jayenge,13.2,100.0
1995-10-20,Never Talk to Strangers,6.4,6e-06
1995-10-26,Vampire in Brooklyn,14.0,19.8
1995-10-27,Leaving Las Vegas,3.6,49.8
1995-10-30,Toy Story,30.0,373.554033
1995-11-03,Fair Game,50.0,11.534477
1995-11-10,Ace Ventura: When Nature Calls,30.0,212.385533
1995-11-16,GoldenEye,58.0,352.194034
1995-11-17,The American President,62.0,107.879496
1995-11-21,Money Train,60.0,35.431113
1995-11-22,Nick of Time,8.169363,8.175346
1995-11-22,Casino,52.0,116.112375
1995-12-01,Things to Do in Denver When You're Dead,8.0,0.529766
1995-12-09,Four Rooms,4.0,4.3
1995-12-13,Sense and Sensibility,16.5,135.0
1995-12-15,Jumanji,65.0,262.797249
1995-12-15,Heat,60.0,187.436818
1995-12-22,Nixon,44.0,13.681765
1995-12-22,Cutthroat Island,98.0,10.017322
1995-12-22,Sudden Death,35.0,64.350171
1995-12-22,Waiting to Exhale,16.0,81.452156
1995-12-29,Twelve Monkeys,29.5,168.84
1995-12-29,Dead Man Walking,11.0,39.363635
1996-01-19,From Dusk Till Dawn,19.0,25.836616
1996-01-22,Manny & Lo,0.5,0.431326
1996-01-26,The Funeral,12.5,1.227324
1996-01-26,Big Bully,15.0,2.04253
1996-02-02,White Squall,38.0,10.3
1996-02-06,Jude,7.0,0.405
1996-02-09,Broken Arrow,50.0,150.270147
1996-02-16,Happy Gilmore,12.0,41.205099
1996-02-21,Bottle Rocket,7.0,0.560069
1996-02-23,Trainspotting,4.0,16.49108
1996-02-23,Mary Reilly,47.0,12.379402
1996-02-28,Hard Eight,3.0,0.222559
1996-03-01,Space Truckers,25.0,1.614266
1996-03-08,Hellraiser: Bloodline,4.0,16.675
1996-03-08,The Birdcage,31.0,185.260553
1996-03-15,Executive Decision,55.0,121.969216
1996-03-22,Flirting with Disaster,7.0,14.702438
1996-03-22,Girl 6,12.0,4.939939
1996-03-31,Doctor Who,5.0,42.0
1996-04-03,Faithful,13.0,9.7899
1996-04-03,Primal Fear,30.0,102.616183
1996-04-05,Fargo,7.0,60.611975
1996-04-12,James and the Giant Peach,38.0,28.921264
1996-04-19,Mrs. Winterbourne,25.0,10.07
1996-04-19,The Quest,30.0,57.400547
1996-05-03,The Craft,15.0,24.769466
1996-05-09,Ridicule,3.0,2.503829
1996-05-10,Twister,92.0,494.471524
1996-05-10,Original Gangstas,4.8,3.014
1996-05-17,Flipper,25.53,20.08002
1996-05-22,Mission: Impossible,80.0,457.696359
1996-05-24,Secrets & Lies,4.5,13.417292
1996-05-31,The Arrival,25.0,14.048372
1996-05-31,DragonHeart,57.0,115.267375
1996-06-06,The Phantom,45.0,17.300889
1996-06-06,The Rock,75.0,335.062621
1996-06-10,The Cable Guy,47.0,102.825796
1996-06-21,Eraser,100.0,242.295562
1996-06-21,Lone Star,5.0,13.269963
1996-06-21,The Hunchback of Notre Dame,100.0,100.138851
1996-06-25,Independence Day,75.0,816.969268
1996-06-26,Silent Trigger,15.0,0.076382
1996-06-26,The Nutty Professor,54.0,128.769345
1996-06-28,Striptease,50.0,113.309743
1996-07-04,Kingpin,27.0,25.023434
1996-07-04,Courage Under Fire,46.0,100.860818
1996-07-05,Phenomenon,32.0,152.036382
1996-07-12,Kadhal Kottai,0.5,0.5
1996-07-18,The Frighteners,30.0,29.359216
1996-07-19,Fled,25.0,17.193231
1996-07-24,A Time to Kill,40.0,152.266007
1996-07-26,Joe's Apartment,13.0,4.619014
1996-08-02,Chain Reaction,50.0,60.209334
1996-08-02,Matilda,36.0,33.459416
1996-08-02,Emma,6.0,22.231658
1996-08-09,Basquiat,2.962051,3.011195
1996-08-09,Jack,45.0,58.620973
1996-08-09,Escape from L.A.,50.0,42.277365
1996-08-15,The Fan,55.0,18.626419
1996-08-16,Bordello of Blood,15.0,5.6
1996-08-16,Tin Cup,45.0,53.854588
1996-08-23,The Spitfire Grill,6.0,12.643776
1996-08-23,The Island of Dr. Moreau,40.0,49.627779
1996-08-26,She's the One,3.5,9.482579
1996-08-29,The Crow: City of Angels,13.0,17.917287
1996-08-30,Sling Blade,1.0,24.444121
1996-09-04,Surviving Picasso,16.0,1.985001
1996-09-06,Curdled,2.3,0.04962
1996-09-06,Bulletproof,25.0,22.611954
1996-09-11,Kama Sutra - A Tale of Love,3.0,4.109095
1996-09-13,Maximum Risk,25.0,51.702483
1996-09-13,Bound,4.5,7.011317
1996-09-20,Last Man Standing,67.0,47.267001
1996-09-20,The First Wives Club,26.0,116.4
1996-09-27,Extreme Measures,38.0,17.380126
1996-10-11,The Chamber,50.0,22.540359
1996-10-11,The Ghost and the Darkness,50.0,75.0
1996-10-11,The Long Kiss Goodnight,65.0,89.456761
1996-10-12,The People vs. Larry Flynt,36.0,20.300385
1996-10-16,The Wind in the Willows,1.2e-05,1e-06
1996-10-16,Get on the Bus,2.4,5.731103
1996-10-18,Swingers,0.2,4.505922
1996-10-18,Sleepers,44.0,165.615285
1996-10-25,Michael Collins,28.0,16.9
1996-10-31,Romeo + Juliet,14.5,147.298761
1996-11-01,Bad Moon,7.0,1.1
1996-11-06,Set It Off,9.0,41.590886
1996-11-08,Ransom,80.0,309.492681
1996-11-14,The English Patient,27.0,231.976425
1996-11-15,Jingle All the Way,60.0,129.832389
1996-11-15,Space Jam,80.0,250.2
1996-11-17,101 Dalmatians,54.0,320.689294
1996-11-21,Star Trek: First Contact,46.0,150.0
1996-12-06,Jerry Maguire,50.0,273.552592
1996-12-06,Daylight,80.0,159.212469
1996-12-12,Mars Attacks!,70.0,101.371017
1996-12-13,Citizen Ruth,3.0,0.153155
1996-12-13,The Preacher's Wife,40.0,48.093211
1996-12-14,Evita,55.0,141.047179
1996-12-18,Marvin's Room,23.0,12.803305
1996-12-20,Scream,14.0,173.046663
1997-01-09,Turbulence,55.0,11.466088
1997-01-10,The Relic,60.0,33.956608
1997-01-15,Lost Highway,15.0,3.675201
1997-01-16,Metro,55.0,31.987563
1997-01-24,Prefontaine,8.0,0.589304
1997-01-31,Mr. Nice Guy,12.716953,18.81472
1997-01-31,Shadow Conspiracy,45.0,2.15454
1997-02-07,Dante's Peak,116.0,178.12776
1997-02-13,Vegas Vacation,25.0,36.40036
1997-02-14,Absolute Power,50.0,50.06831
1997-02-20,Love's Deadly Triangle: The Texas Cadet Murder,14.0,161.001698
1997-02-21,Rosewood,30.0,13.130349
1997-02-27,Donnie Brasco,35.0,41.954997
1997-03-07,Private Parts,28.0,41.230799
1997-03-12,The Devil's Own,90.0,140.807547
1997-03-21,Liar Liar,45.0,302.710615
1997-03-21,Selena,20.0,60.0
1997-03-26,Cats Don't Dance,32.0,3.566637
1997-03-27,Turbo: A Power Rangers Movie,10.0,17.979739
1997-04-01,La vérité si je mens !,4.0,29.456
1997-04-03,The Saint,68.0,118.063304
1997-04-04,Anna Karenina,35.0,0.79183
1997-04-04,Chasing Amy,0.25,12.021272
1997-04-10,The Castle,0.786675,0.861789
1997-04-11,Anaconda,45.0,136.885767
1997-04-30,The Night Flier,1.0,0.091549
1997-05-02,Austin Powers: International Man of Mystery,16.5,67.683989
1997-05-02,Breakdown,36.0,50.159144
1997-05-07,The Fifth Element,90.0,263.92018
1997-05-14,The Sweet Hereafter,5.0,3.263585
1997-05-16,Love! Valour! Compassion!,2.0,2.9
1997-05-23,The Lost World: Jurassic Park,73.0,229.074524
1997-06-01,Con Air,75.0,224.012234
1997-06-06,Squeeze,0.5,0.0103
1997-06-13,Speed 2: Cruise Control,160.0,164.508066
1997-06-19,My Best Friend's Wedding,38.0,299.288605
1997-06-20,Batman & Robin,125.0,238.207122
1997-06-26,Hercules,85.0,252.712101
1997-06-27,Face/Off,80.0,245.676146
1997-07-02,Men in Black,90.0,589.390539
1997-07-03,Bean,18.0,251.21267
1997-07-11,Contact,90.0,171.120329
1997-07-11,A Simple Wish,28.0,8.345056
1997-07-12,Princess Mononoke,26.5,159.375308
1997-07-25,Air Force One,85.0,315.156409
1997-07-29,One Eight Seven,20.0,5.71608
1997-07-31,Spawn,40.0,87.840042
1997-08-01,Children of Heaven,0.18,0.9
1997-08-01,Air Bud,3.0,23.144499
1997-08-01,Picture Perfect,19.0,44.332015
1997-08-07,Conspiracy Theory,75.0,136.982834
1997-08-13,The Full Monty,3.5,257.850122
1997-08-15,Steel,16.0,1.686429
1997-08-15,Event Horizon,60.0,26.673242
1997-08-15,Cop Land,15.0,44.862187
1997-08-22,G.I. Jane,50.0,48.169156
1997-08-22,Mimic,30.0,25.48049
1997-08-22,Shooting Fish,3.0,0.302204
1997-08-26,Deconstructing Harry,20.0,10.686841
1997-08-27,Sunday,0.00045,0.000288
1997-08-28,Affliction,6.0,6.330054
1997-09-05,Fire Down Below,60.0,16.0
1997-09-07,Two Girls and a Guy,1.0,2.057193
1997-09-07,Gattaca,36.0,12.532777
1997-09-08,The Spanish Prisoner,10.0,13.83513
1997-09-09,Cube,0.25,0.501818
1997-09-11,Boogie Nights,15.0,43.101594
1997-09-12,Seven Years in Tibet,70.0,131.457682
1997-09-12,The Game,50.0,109.423648
1997-09-17,The Myth Of Fingerprints,2.0,0.458815
1997-09-19,Wishmaster,5.0,15.719109
1997-09-19,L.A. Confidential,35.0,126.21694
1997-09-25,Paws,0.137731,1.778391
1997-09-27,Lolita,62.0,1.060056
1997-09-27,The Ice Storm,18.0,8.038061
1997-10-03,Kiss the Girls,27.0,60.527873
1997-10-03,U Turn,19.0,6.682098
1997-10-10,The House of Yes,1.5,0.626057
1997-10-10,Most Wanted,25.0,11.838218
1997-10-17,I Know What You Did Last Summer,17.0,125.586134
1997-10-17,The Devil's Advocate,57.0,152.94466
1997-10-17,Playing God,12.0,4.0
1997-10-30,Dil To Pagal Hai,1.3,11.0
1997-10-31,Switchback,37.0,6.482195
1997-11-06,Starship Troopers,105.0,121.214377
1997-11-06,Cure,0.02,0.099
1997-11-07,Mad City,50.0,10.541523
1997-11-12,Alien: Resurrection,70.0,162.0
1997-11-14,The Jackal,60.0,159.33028
1997-11-14,One Night Stand,24.0,2.642983
1997-11-14,The Man Who Knew Too Little,20.0,13.801755
1997-11-18,Titanic,200.0,1845.034188
1997-11-18,The Rainmaker,40.0,45.916769
1997-11-20,Anastasia,53.0,139.804348
1997-11-21,Midnight in the Garden of Good and Evil,35.0,25.105255
1997-11-21,Mortal Kombat: Annihilation,30.0,51.376861
1997-11-26,Flubber,80.0,177.977226
1997-12-03,Amistad,36.0,74.0
1997-12-05,Good Will Hunting,10.0,225.933435
1997-12-09,Scream 2,24.0,172.363301
1997-12-11,For Richer or Poorer,35.0,31.611225
1997-12-11,Tomorrow Never Dies,110.0,333.011068
1997-12-12,Home Alone 3,32.0,79.082515
1997-12-18,Running Time,0.13,0.001596
1997-12-19,Spice World,25.0,100.0
1997-12-19,MouseHunt,38.0,122.417389
1997-12-19,As Good as It Gets,50.0,314.178011
1997-12-19,Open Your Eyes,2.9,0.368234
1997-12-20,Life Is Beautiful,20.0,229.4
1997-12-24,Jackie Brown,12.0,39.673162
1997-12-25,The Postman,80.0,17.626234
1997-12-25,Wag the Dog,15.0,64.256513
1997-12-25,Kundun,28.0,5.684789
1997-12-25,An American Werewolf in Paris,22.0,26.570463
1998-01-16,Hard Rain,70.0,19.870567
1998-01-16,Half Baked,8.0,17.46002
1998-01-16,Central Station,2.9,5.596708
1998-01-19,Great Expectations,25.0,55.494066
1998-01-20,Buffalo '66,1.5,2.375097
1998-01-21,Gods and Monsters,10.0,6.451628
1998-01-30,Zero Effect,5.0,1.980338
1998-01-30,Deep Rising,45.0,11.203026
1998-01-31,Ringu,1.2,8.690429
1998-02-04,Your Friends & Neighbors,5.0,4.710749
1998-02-05,Blues Brothers 2000,28.0,14.051384
1998-02-06,The Replacement Killers,30.0,19.204929
1998-02-13,The Wedding Singer,18.0,123.306987
1998-02-13,Sphere,75.0,13.1
1998-02-20,A Place Called Chiapas,0.891,0.229
1998-02-20,"An Alan Smithee Film: Burn, Hollywood, Burn",10.0,0.045779
1998-02-27,Dark City,27.0,27.200316
1998-03-05,"Lock, Stock and Two Smoking Barrels",1.35,3.897569
1998-03-05,A Civil Action,70.0,56.702901
1998-03-06,U.S. Marshals,60.0,102.367405
1998-03-06,The Big Lebowski,15.0,46.189568
1998-03-20,Wild Things,20.0,67.2
1998-03-26,The Newton Boys,27.0,76.0
1998-03-27,Meet the Deedles,24.0,4.562146
1998-04-03,Lost in Space,80.0,136.159423
1998-04-10,Species II,35.0,19.16556
1998-04-10,City of Angels,55.0,198.685114
1998-04-15,The Dinner Game,12.5,78.599508
1998-04-17,The Object of My Affection,15.0,46.905889
1998-04-23,Sliding Doors,6.0,58.0
1998-04-24,The Big Hit,13.0,27.007143
1998-04-28,The Idiots,2.5,0.007235
1998-05-01,He Got Game,25.0,21.567853
1998-05-08,Deep Impact,75.0,140.464664
1998-05-08,Woo,13.0,8.026971
1998-05-14,Edge of Seventeen,1.5,0.870751
1998-05-14,The Horse Whisperer,60.0,186.883563
1998-05-15,Quest for Camelot,40.0,38.1725
1998-05-15,Bulworth,30.0,29.202884
1998-05-20,Godzilla,130.0,379.014294
1998-05-22,Fear and Loathing in Las Vegas,18.5,10.680275
1998-05-22,The Opposite of Sex,5.0,5.879254
1998-05-27,The Wounds,0.01,0.15
1998-05-28,Forever Fever,1.07,0.57
1998-06-04,The Truman Show,60.0,264.118201
1998-06-05,A Perfect Murder,60.0,128.038368
1998-06-12,Six Days Seven Nights,70.0,164.0
1998-06-12,Can't Hardly Wait,10.0,25.605015
1998-06-18,Mulan,90.0,304.320254
1998-06-19,The X Files,66.0,189.198313
1998-06-22,Doctor Dolittle,71.0,294.456605
1998-06-26,Out of Sight,48.0,77.745568
1998-07-01,Armageddon,140.0,553.799566
1998-07-10,Pi,0.06,3.221152
1998-07-10,Lethal Weapon 4,140.0,285.444603
1998-07-10,Small Soldiers,40.0,54.682547
1998-07-15,There's Something About Mary,23.0,369.884651
1998-07-16,The Mask of Zorro,95.0,250.288523
1998-07-18,Pokémon: The First Movie: Mewtwo Strikes Back,30.0,163.644662
1998-07-24,Jane Austen's Mafia!,10.0,19.0
1998-07-24,Saving Private Ryan,70.0,481.840909
1998-07-24,Disturbing Behavior,15.0,17.507368
1998-07-29,The Negotiator,50.0,44.547681
1998-07-31,Ever After: A Cinderella Story,26.0,65.705772
1998-08-05,Halloween: H20,17.0,55.041738
1998-08-07,"First Love, Last Rites",0.3,0.040542
1998-08-07,Snake Eyes,73.0,103.891409
1998-08-13,The Avengers,60.0,48.585416
1998-08-14,How Stella Got Her Groove Back,20.0,37.67235
1998-08-20,Run Lola Run,1.53,7.267585
1998-08-21,Blade,45.0,131.18353
1998-08-22,Dil Se..,5.2,13.0
1998-08-28,I Married a Strange Person!,0.00025,0.000203
1998-08-28,54,13.0,16.757163
1998-09-10,The Red Violin,18.0,9.495408
1998-09-11,Rounders,12.0,22.921898
1998-09-11,Simon Birch,20.0,18.253415
1998-09-11,Very Bad Things,30.0,9.898412
1998-09-11,Without Limits,25.0,0.777423
1998-09-12,The Terrorist,0.024554,0.140021
1998-09-12,Following,0.006,0.048482
1998-09-13,Elizabeth,30.0,82.150642
1998-09-17,Rushmore,9.0,17.096053
1998-09-18,Six-String Samurai,2.0,0.124494
1998-09-18,Rush Hour,33.0,244.386864
1998-09-25,Urban Legend,14.0,72.527595
1998-09-25,Ronin,55.0,41.610884
1998-10-01,A Night at the Roxbury,17.0,30.331165
1998-10-02,Strangeland,1.1,0.631221
1998-10-02,Antz,60.0,171.757863
1998-10-02,What Dreams May Come,85.0,71.485043
1998-10-16,"Blood, Guts, Bullets and Octane",0.0073,0.013674
1998-10-16,Happiness,3.0,2.80739
1998-10-16,Practical Magic,75.0,46.683377
1998-10-16,Bride of Chucky,25.0,50.67185
1998-10-16,Kuch Kuch Hota Hai,1.53,15.306
1998-10-23,Soldier,75.0,14.567883
1998-10-30,American History X,20.0,23.875127
1998-10-30,Living Out Loud,12.0,12.90279
1998-11-06,The Waterboy,23.0,185.991646
1998-11-06,The Siege,70.0,116.672912
1998-11-12,Meet Joe Black,90.0,142.9401
1998-11-13,I Still Know What You Did Last Summer,65.0,40.002112
1998-11-20,The Rugrats Movie,30.0,100.491683
1998-11-20,Enemy of the State,90.0,250.649836
1998-11-25,Home Fries,15.0,10.443316
1998-11-25,Babe: Pig in the City,90.0,69.13186
1998-11-25,A Bug's Life,120.0,363.258859
1998-11-25,Ringmaster,3.5,9.247881
1998-12-04,Psycho,60.0,37.14113
1998-12-10,Star Trek: Insurrection,70.0,118.0
1998-12-11,Shakespeare in Love,25.0,289.317794
1998-12-15,The Prince of Egypt,70.0,218.613188
1998-12-17,You've Got Mail,65.0,250.821495
1998-12-25,Patch Adams,50.0,202.292902
1998-12-25,The Thin Red Line,52.0,98.126565
1998-12-25,The Faculty,15.0,40.283321
1998-12-30,Playing by Heart,20.0,3.970078
1999-01-01,The Cherry Orchard,5e-06,0.000135
1999-01-14,Virus,75.0,14.01069
1999-01-22,Cookie's Fortune,10.0,10.920544
1999-01-22,The Boondock Saints,6.0,0.030471
1999-01-23,Ringu 2,6.0,18.686644
1999-01-29,She's All That,10.0,103.166989
1999-01-30,Jawbreaker,3.0,3.07682
1999-02-05,Payback,90.0,161.626121
1999-02-05,Simply Irresistible,6.0,4.398989
1999-02-11,My Favorite Martian,65.0,36.850101
1999-02-12,Blast from the Past,35.0,40.26302
1999-02-19,Office Space,10.0,12.827813
1999-02-22,Message in a Bottle,80.0,118.880016
1999-02-26,8MM,40.0,96.618699
1999-02-26,200 Cigarettes,6.0,6.85245
1999-03-05,Cruel Intentions,10.5,75.902208
1999-03-05,Analyze This,80.0,176.885658
1999-03-11,The Rage: Carrie 2,21.0,17.762705
1999-03-12,Baby Geniuses,12.0,36.450736
1999-03-12,The Corruptor,25.0,15.1562
1999-03-12,The Deep End of the Ocean,38.0,28.1211
1999-03-12,Forces of Nature,75.0,93.88818
1999-03-19,The King and I,25.0,12.0
1999-03-25,The Last Breath,3.8,0.559298
1999-03-25,Tea with Mussolini,12.0,21.001563
1999-03-26,The Mod Squad,50.0,13.26005
1999-03-30,10 Things I Hate About You,16.0,53.478166
1999-03-30,The Matrix,63.0,463.517383
1999-04-01,Beowulf,20.0,1.531251
1999-04-02,The Out-of-Towners,75.0,29.0
1999-04-09,Go,6.5,28.451622
1999-04-09,Never Been Kissed,25.0,84.56523
1999-04-14,eXistenZ,15.0,2.856712
1999-04-15,An Ideal Husband,14.0,18.535191
1999-04-16,Life,80.0,73.345029
1999-04-16,The Mummy,80.0,415.885488
1999-04-16,The Thirteenth Floor,16.0,18.564088
1999-04-19,All About My Mother,8.272296,67.872296
1999-04-21,The Virgin Suicides,6.0,10.409377
1999-04-23,Lost & Found,1e-06,0.0001
1999-04-29,Entrapment,66.0,212.404396
1999-04-30,Idle Hands,25.0,4.15223
1999-05-01,Vaali,0.5,0.5
1999-05-13,Notting Hill,42.0,363.889678
1999-05-14,East Is East,3.8,28.2
1999-05-15,The Limey,10.0,3.193102
1999-05-19,Star Wars: Episode I - The Phantom Menace,115.0,924.317558
1999-06-04,Limbo,8.0,1.997807
1999-06-04,Human Traffic,0.6,4.0
1999-06-08,Austin Powers: The Spy Who Shagged Me,33.0,310.940086
1999-06-18,The General's Daughter,60.0,149.705852
1999-06-18,Tarzan,150.0,448.0
1999-06-25,Big Daddy,34.2,234.801895
1999-06-29,Wild Wild West,170.0,222.104681
1999-07-09,American Pie,11.0,235.483004
1999-07-14,The Blair Witch Project,0.06,248.0
1999-07-14,Muppets from Space,24.0,16.290976
1999-07-14,Eyes Wide Shut,65.0,162.091208
1999-07-15,Lake Placid,27.0,56.870414
1999-07-16,The Wood,6.0,25.05964
1999-07-17,Pokémon: The Movie 2000,30.0,133.94927
1999-07-23,Trick,0.45,2.049595
1999-07-23,The Haunting,80.0,91.188905
1999-07-23,Drop Dead Gorgeous,10.0,10.571408
1999-07-28,Deep Blue Sea,60.0,73.648228
1999-07-30,Runaway Bride,70.0,309.457509
1999-08-04,Dick,13.0,27.5
1999-08-05,Universal Soldier: The Return,45.0,10.667893
1999-08-06,Mystery Men,68.0,29.762011
1999-08-06,The Iron Giant,70.0,23.159305
1999-08-06,The Sixth Sense,40.0,672.806292
1999-08-06,The Thomas Crown Affair,48.0,124.305181
1999-08-11,Teaching Mrs. Tingle,13.0,8.946237
1999-08-13,Brokedown Palace,25.0,13.0
1999-08-13,Detroit Rock City,6.5,4.217115
1999-08-16,Outside Providence,7.0,7.292175
1999-08-24,The Ninth Gate,38.0,58.401898
1999-08-25,In Too Deep,7.0,14.011454
1999-08-25,Amarkalam,0.5,0.5
1999-08-26,The Astronaut's Wife,75.0,19.598588
1999-08-27,The 13th Warrior,160.0,61.698899
1999-09-01,Chill Factor,70.0,11.263966
1999-09-02,Boys Don't Cry,2.0,11.540607
1999-09-04,Guinevere,2.6,0.614202
1999-09-04,Black and White,10.0,5.241315
1999-09-10,Stir of Echoes,12.0,21.133087
1999-09-10,Stigmata,29.0,50.041732
1999-09-12,But I'm a Cheerleader,1.2,2.6
1999-09-15,Simpatico,10.0,0.929606
1999-09-15,American Beauty,15.0,356.296601
1999-09-17,The Hurricane,50.0,73.956241
1999-09-17,Blue Streak,65.0,117.7585
1999-09-24,Butterfly,3.0,6.0
1999-09-24,Double Jeopardy,70.0,177.841558
1999-09-27,Three Kings,75.0,108.0
1999-09-30,Being John Malkovich,13.0,22.863596
1999-10-01,"Mystery, Alaska",28.0,8.888143
1999-10-01,Drive Me Crazy,8.0,22.593409
1999-10-08,Naturally Native,0.7,0.010508
1999-10-08,Random Hearts,64.0,74.60857
1999-10-13,The Story of Us,50.0,58.900031
1999-10-15,Fight Club,63.0,100.853753
1999-10-18,The Messenger: The Story of Joan of Arc,60.0,66.976317
1999-10-22,Beyond the Mat,2.053648,0.5
1999-10-22,The Best Man,9.0,34.57378
1999-10-28,The Insider,90.0,60.289912
1999-10-29,Music of the Heart,27.0,14.859394
1999-10-29,Dreaming of Joseph Lees,2.0,7e-06
1999-10-29,House on Haunted Hill,19.0,40.846082
1999-10-30,Toy Story 2,90.0,497.366869
1999-11-04,The Bone Collector,73.0,151.493655
1999-11-05,The Bachelor,51.0,36.911617
